Centro planificación;Orden;Almacén;Material;Lote;Texto breve material;Cantidad orden;Cantidad entregada;Fecha de fin real;Unidad de medida;Estado de sistema;Status de usuario;Hora creación;Fecha inicio extrema;Fecha fin extrema;Autor;Planificador nec.;Versión fabricación;Modificado por
B010;1083141;1001;14002441;2605230077;STRIPS MARINADO BOL(20UN);1.438;1.438;23/5/2026;BOL;CERR NOTP ENTR PREC EDET CONA DDPN DMNV*;LIB  RECT;5:52:17 a. m.;23/5/2026;23/5/2026;USUARIO 4;P01;V001;CABAD
B010;1082930;1001;14002442;2605180383;PASTA DE POLLO;1.470;1.470;18/5/2026;KG;CERR NOTP ENTR PREC EDET CONA DDPN DMNV*;LIB  RECT;8:13:22 a. m.;18/5/2026;18/5/2026;USUARIO 6;P01;V001;CABAD
B010;1082966;1001;14002442;2605190180;PASTA DE POLLO;1.740;1.740;21/5/2026;KG;CERR FMAT NOTP ENTR PREC EDET CONA DDPN*;LIB  RECT;6:15:59 a. m.;19/5/2026;19/5/2026;USUARIO 4;P01;V001;CABAD
B010;1083027;1001;14002442;2605200846;PASTA DE POLLO;2.130;2.130;20/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;RECT;10:59:36 a. m.;20/5/2026;29/5/2026;USUARIO 5;P01;V001;CABAD
B010;1083098;1001;14002442;2605220238;PASTA DE POLLO;2.745;2.745;23/5/2026;KG;CERR NOTP ENTR PREC EDET CONA DDPN DMNV*;LIB  RECT;6:46:11 a. m.;22/5/2026;22/5/2026;USUARIO 6;P01;V001;CABAD
B010;1083047;1001;14002442;2605210165;PASTA DE POLLO;2.670;2.670;22/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;RECT;6:50:40 a. m.;23/5/2026;29/5/2026;USUARIO 5;P01;V001;CABAD
B010;1083143;1001;14002442;2605230079;PASTA DE POLLO;2.040;2.040;23/5/2026;KG;CERR FMAT NOTP ENTR PREC EDET CONA DDPN*;LIB  RECT;5:53:38 a. m.;23/5/2026;23/5/2026;USUARIO 4;P01;V001;CABAD
B010;1082915;1001;14002613;2605180187;POP CORN BOL(0,88KG);1.360;1.360;18/5/2026;BOL;CERR FMAT NOTP ENTR PREC EDET CONA DDPN*;LIB  RECT;7:20:07 a. m.;18/5/2026;18/5/2026;USUARIO 6;P01;V001;CABAD
B010;1082942;1001;14002613;2605180912;POP CORN BOL(0,88KG);1.856;1.856;18/5/2026;BOL;CERR FMAT NOTP ENTR PREC EDET DDPN DMNV*;RECT;11:34:52 a. m.;18/5/2026;20/5/2026;USUARIO 6;P01;V001;CABAD
B010;1082962;1001;14002613;2605190176;POP CORN BOL(0,88KG);3.180;3.180;19/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;6:13:09 a. m.;19/5/2026;20/5/2026;USUARIO 4;P01;V001;CABAD
B010;1083028;1001;14002613;2605200866;POP CORN BOL(0,88KG);2.615;2.615;20/5/2026;BOL;CERR FMAT NOTP ENTR PREC EDET CONA DDPN*;LIB  RECT;11:03:15 a. m.;20/5/2026;20/5/2026;USUARIO 6;P01;V001;CABAD
B010;1083073;1001;14002613;2605211078;POP CORN BOL(0,88KG);415;415;21/5/2026;BOL;CERR FMAT NOTP ENTR PREC EDET CONA DDPN*;LIB  RECT;12:35:11 p. m.;21/5/2026;21/5/2026;USUARIO 5;P01;V001;CABAD
B010;1083075;1001;14002613;2605211259;POP CORN BOL(0,88KG);356;356;21/5/2026;BOL;CERR NOTP ENTR PREC EDET CONA DDPN DMNV*;LIB  RECT;2:54:08 p. m.;21/5/2026;21/5/2026;USUARIO 6;P01;V001;CABAD
B010;1083076;1001;14002613;2605211265;POP CORN BOL(0,88KG);889;889;21/5/2026;BOL;CERR NOTP ENTR PREC EDET CONA DDPN DMNV*;LIB  RECT;2:59:22 p. m.;21/5/2026;21/5/2026;USUARIO 6;P01;V001;CABAD
B010;1083100;1001;14002613;2605220244;POP CORN BOL(0,88KG);2.914;2.914;22/5/2026;BOL;CERR NOTP ENTR PREC EDET CONA DDPN DMNV*;LIB  RECT;6:55:40 a. m.;22/5/2026;22/5/2026;USUARIO 4;P01;V001;CABAD
B010;1083139;1001;14002613;2605230075;POP CORN BOL(0,88KG);4.460;4.460;23/5/2026;BOL;CERR NOTP ENTR PREC EDET CONA DDPN DMNV*;LIB  RECT;5:51:02 a. m.;23/5/2026;24/5/2026;USUARIO 4;P01;V001;CABAD
B010;1082952;1002;12002518;2605181536;MIX VERDURAS ENSALADA;964,400;964,200;19/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;RECT;10:35:47 p. m.;18/5/2026;20/5/2026;USUARIO 7;P04;V001;CABAD
B010;1082994;1002;12002518;2605190952;MIX VERDURAS ENSALADA;771,520;771,500;19/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN LINA LOAS*;LIB  RECT;10:24:55 p. m.;19/5/2026;19/5/2026;USUARIO 7;P04;V001;CABAD
B010;1083038;1002;12002518;2605201583;MIX VERDURAS ENSALADA;1.157,280;1.157,200;21/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN LINA LOAS*;LIB  RECT;10:25:45 p. m.;20/5/2026;20/5/2026;USUARIO 7;P04;V001;CABAD
B010;1083088;1002;12002518;2605211593;MIX VERDURAS ENSALADA;1.350,160;1.350,100;22/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;RECT;10:22:52 p. m.;21/5/2026;23/5/2026;USUARIO 7;P04;V001;CABAD
B010;1083179;1002;12002518;2605230896;MIX VERDURAS ENSALADA;1.060,840;1.060,800;24/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN LINA LOAS*;LIB  RECT;10:13:03 p. m.;23/5/2026;23/5/2026;USUARIO 7;P04;V001;CABAD
B010;1082954;1002;12002545;2605181543;ADEREZO PARA ENSALADA DE COL;347,600;347,600;19/5/2026;KG;CERR FMAT NOTP ENTR PREC EDET DDPN DMNV*;LIB  RECT;10:42:08 p. m.;18/5/2026;20/5/2026;USUARIO 7;P04;V001;CABAD
B010;1082996;1002;12002545;2605190954;ADEREZO PARA ENSALADA DE COL;252,800;252,800;20/5/2026;KG;CERR FMAT NOTP ENTR PREC EDET DDPN DMNV*;RECT;10:35:21 p. m.;19/5/2026;21/5/2026;USUARIO 7;P04;V001;CABAD
B010;1083040;1002;12002545;2605201602;ADEREZO PARA ENSALADA DE COL;379,200;379,200;21/5/2026;KG;CERR FMAT NOTP ENTR PREC EDET DDPN DMNV*;RECT;10:39:12 p. m.;20/5/2026;20/5/2026;USUARIO 7;P04;V001;CABAD
B010;1083090;1002;12002545;2605211607;ADEREZO PARA ENSALADA DE COL;442,400;442,400;22/5/2026;KG;CERR FMAT NOTP ENTR PREC EDET DDPN DMNV*;RECT;10:29:00 p. m.;22/5/2026;30/5/2026;USUARIO 7;P04;V001;CABAD
B010;1083181;1002;12002545;2605230902;ADEREZO PARA ENSALADA DE COL;316;316;23/5/2026;KG;CERR FMAT NOTP ENTR PREC EDET DDPN LINA*;LIB  RECT;10:26:28 p. m.;23/5/2026;23/5/2026;USUARIO 7;P04;V001;CABAD
B010;1082953;1002;12002549;2605181541;VERDURAS PARA ENSALADA DE COL;1.020,400;1.020;19/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN LINA LOAS*;LIB  RECT;10:39:35 p. m.;18/5/2026;18/5/2026;USUARIO 7;P04;V001;CABAD
B010;1082995;1002;12002549;2605190953;VERDURAS PARA ENSALADA DE COL;819,500;817;20/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;RECT;10:27:13 p. m.;19/5/2026;21/5/2026;USUARIO 7;P04;V001;CABAD
B010;1083039;1002;12002549;2605201588;VERDURAS PARA ENSALADA DE COL;1.219,600;1.218;21/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN LINA LOAS*;LIB  RECT;10:28:41 p. m.;20/5/2026;20/5/2026;USUARIO 7;P04;V001;CABAD
B010;1083089;1002;12002549;2605211598;VERDURAS PARA ENSALADA DE COL;1.387,960;1.387,960;22/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;RECT;10:25:22 p. m.;22/5/2026;30/5/2026;USUARIO 7;P04;V001;CABAD
B010;1083180;1002;12002549;2605230900;VERDURAS PARA ENSALADA DE COL;1.122,400;1.122;24/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN LINA LOAS*;LIB  RECT;10:23:59 p. m.;23/5/2026;23/5/2026;USUARIO 7;P04;V001;CABAD
B010;1082940;1002;14002424;2605180862;TOMATE PROCESADO BOL(5KG);90;90;19/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;11:15:32 a. m.;18/5/2026;18/5/2026;USUARIO 1;P04;V001;CABAD
B010;1082990;1002;14002424;2605190849;TOMATE PROCESADO BOL(5KG);80;80;20/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;3:40:06 p. m.;19/5/2026;19/5/2026;USUARIO 1;P04;V001;CABAD
B010;1083034;1002;14002424;2605201431;TOMATE PROCESADO BOL(5KG);100;100;21/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;5:07:48 p. m.;20/5/2026;20/5/2026;USUARIO 2;P04;V001;CABAD
B010;1083079;1002;14002424;2605211404;TOMATE PROCESADO BOL(5KG);150;150;22/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;4:42:02 p. m.;21/5/2026;21/5/2026;USUARIO 2;P04;V001;CABAD
B010;1083174;1002;14002424;2605230864;TOMATE PROCESADO BOL(5KG);120;120;23/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;4:53:43 p. m.;23/5/2026;23/5/2026;USUARIO 1;P04;V001;CABAD
B010;1082941;1002;14002428;2605180884;LECHUGA BATAVIA PROCESADA BOL(1KG);337;337;19/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;11:22:45 a. m.;18/5/2026;18/5/2026;USUARIO 1;P04;V001;CABAD
B010;1082991;1002;14002428;2605190851;LECHUGA BATAVIA PROCESADA BOL(1KG);344;344;20/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;RECT;3:44:07 p. m.;19/5/2026;21/5/2026;USUARIO 1;P04;V001;CABAD
B010;1083035;1002;14002428;2605201433;LECHUGA BATAVIA PROCESADA BOL(1KG);423;423;21/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;5:09:29 p. m.;20/5/2026;20/5/2026;USUARIO 2;P04;V001;CABAD
B010;1083080;1002;14002428;2605211416;LECHUGA BATAVIA PROCESADA BOL(1KG);676;676;22/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;4:50:10 p. m.;21/5/2026;21/5/2026;USUARIO 2;P04;V001;CABAD
B010;1083175;1002;14002428;2605230865;LECHUGA BATAVIA PROCESADA BOL(1KG);388;388;24/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;4:56:44 p. m.;23/5/2026;23/5/2026;USUARIO 1;P04;V001;CABAD
B010;1082939;1002;14002432;2605180853;ENSALADA COL BOL(2KG);688;688;19/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;RECT;11:12:05 a. m.;18/5/2026;20/5/2026;USUARIO 1;P04;V001;CABAD
B010;1082992;1002;14002432;2605190853;ENSALADA COL BOL(2KG);565;565;20/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;3:46:11 p. m.;19/5/2026;19/5/2026;USUARIO 1;P04;V001;CABAD
B010;1083036;1002;14002432;2605201435;ENSALADA COL BOL(2KG);828;828;21/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;RECT;5:10:34 p. m.;20/5/2026;22/5/2026;USUARIO 2;P04;V001;CABAD
B010;1083081;1002;14002432;2605211426;ENSALADA COL BOL(2KG);907;907;22/5/2026;BOL;CERR FMAT NOTP ENTR PREC EDET DDPN DMNV*;RECT;5:07:34 p. m.;21/5/2026;23/5/2026;USUARIO 2;P04;V001;CABAD
B010;1083133;1002;14002432;2605221434;ENSALADA COL BOL(2KG);1;0;26/5/2026;BOL;CERR NOTP ENTR PREC EDET CONA DDPN DMNV*;LIB  RECT;4:38:56 p. m.;22/5/2026;22/5/2026;USUARIO 1;P04;V001;CABAD
B010;1083176;1002;14002432;2605230867;ENSALADA COL BOL(2KG);764;764;24/5/2026;BOL;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;5:00:00 p. m.;23/5/2026;23/5/2026;USUARIO 1;P04;V001;CABAD
